id,name,symbol,active,porcentaje_variacion
base.ZAR,ZAR,R,True,35%
base.ZMK,ZMK,ZK,True,54%
base.ZRZ,ZRZ,Ƶ,True,35%
base.ZWD,ZWD,Z$,True,35%
base.UYI,UYI,UYI,True,
base.UYU,UYU,UYU,True,
base.XAG,XAG,XAG,True,
base.XAU,XAU,XAU,True,
base.XBA,XBA,XBA,True,
base.XBB,XBB,XBB,True,
base.XBC,XBC,XBC,True,
base.XBD,XBD,XBD,True,
base.XDR,XDR,XDR,True,
base.XPD,XPD,XPD,True,
base.XPT,XPT,XPT,True,
base.XSU,XSU,XSU,True,
base.XTS,XTS,XTS,True,
base.XUA,XUA,XUA,True,
base.XXX,XXX,XXX,True,
base.ZMW,ZMW,ZMW,True,
base.ZWL,ZWL,ZWL,True,
